top - 20:32:41 up 21 days, 10:27,  2 users,  load average: 0.00, 0.01, 0.00
ä»»åŠ¡: 264 total,   1 running, 263 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.1 us,  0.0 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 16367476 total,  9993076 free,  2766608 used,  3607792 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used. 13128560 avail Mem 

è¿›ç¨ USER      PR  NI    VIRT    RES    SHR æ  %CPU %MEM     TIME+ COMMAND
 2818 jj        20   0   72352   5408   4908 S   0.0  0.0   0:00.98 gconfd-2
 2879 jj        20   0  652292 163220  72572 S   0.0  1.0   3:57.90 chrome
 2883 jj        20   0  498800  15964   1960 S   0.0  0.1   0:00.00 chrome
 2933 jj        20   0 1654060 532980  57528 S   0.0  3.3  17:51.30 chrome
 3023 jj        20   0  936304 130436  79060 S   0.0  0.8   0:42.68 chrome
 3062 jj        20   0  570244  30900  25104 S   0.0  0.2   0:16.48 update-notifier
 3500 root      20   0  326724  12748  11036 S   0.0  0.1   0:04.80 packagekitd
 3600 jj        20   0  454712  11500   8280 S   0.0  0.1   0:00.05 deja-dup-monito
 3611 jj        20   0  629932  42084  34284 S   0.0  0.3   0:00.22 deja-dup
 4564 root      20   0       0      0      0 S   0.0  0.0   0:03.40 kworker/4:1
 5185 root      20   0  103564   7128   6136 S   0.0  0.0   0:00.01 sshd
 5256 jj        20   0  105488   6028   3136 S   0.0  0.0   0:02.79 sshd
 5257 jj        20   0   27116   7016   3592 S   0.0  0.0   0:02.03 bash
 5419 root      20   0       0      0      0 S   0.0  0.0   0:03.07 kworker/0:0
 6301 root      20   0       0      0      0 S   0.0  0.0   0:01.12 kworker/5:1
 6405 jj        20   0 1377460 222624 112524 S   0.0  1.4  17:10.72 chrome
 6969 whoopsie  20   0  467552  13400  11584 S   0.0  0.1   0:00.03 whoopsie
 7559 root      20   0       0      0      0 S   0.0  0.0   0:01.20 kworker/3:2
 7836 root      20   0   16120   3680   2820 S   0.0  0.0   0:00.00 dhclient
 8046 root      20   0       0      0      0 S   0.0  0.0   0:01.44 kworker/1:1
 8065 root      20   0       0      0      0 S   0.0  0.0   0:00.73 kworker/6:2
 8285 root      20   0       0      0      0 S   0.0  0.0   0:01.09 kworker/5:0
 8336 root      20   0       0      0      0 S   0.0  0.0   0:01.72 kworker/2:0
 8424 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
 8427 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfsalloc
 8428 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs_mru_cache
 8438 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsIO
 8439 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 8440 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 8441 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 8442 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 8443 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 8444 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 8445 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 8446 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 8447 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsSync
 8485 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
 9140 root      20   0   99764   7668   6472 S   0.0  0.0   0:00.00 cupsd
 9141 root      20   0  296108   9980   8664 S   0.0  0.1   0:00.00 cups-browsed
